Name,Rate,active_price,address,metro
Отель Holiday Tagansky,8.9/10,4 410,"Москва, ул. Симоновский Вал, д. 2",Крестьянская застава
Отель Cosmos Selection Moscow Sheremetyevo Airport Hotel,8.9/10,8 500,"Химки, ш. Международное, д. 1а",
ГородОтель на Казанском,8.3/10,1 800,"Москва, пл. Комсомольская, д. 2, 1 этаж",Комсомольская
Отель Red Brick,9.1/10,5 490,"Москва, пер. Хохловский, д. 10, стр. 6",Китай-город
Отель Marco Polo by Moss Hospitality,9.1/10,7 600,"Москва, Спиридоньевский пер., д. 9",Пушкинская
Бизнес-отель Бородино,9.3/10,4 600,"Москва, Русаковская ул.13/5",Митьково МЦД-3
Апарт-отель InPremium,9.1/10,15 480,"Москва, наб. Пресненская, д. 12",Международная
Гостиница Империя,8.7/10,3 700,"Москва, 1-й Боткинский пр-д, д. 6",Динамо
Апартаменты Восход,8.3/10,2 000,"Москва, Алтуфьевское ш., д. 2, 4 и 8 этаж",Владыкино
Апарт-отель Измайловский парк,9.3/10,4 700,"Москва, ул. Щербаковская, д. 57А",Измайлово
Corsa Vita Hotel,8.9/10,4 200,"Москва, ул. 1905 года, д. 10, стр. 1",Улица 1905 года
Отель Старосадский,9.3/10,4 000,"Москва, Старосадский пер., д. 8, стр. 3",Китай-город
Бутик-Отель The Rooms Boutique Hotel,9.1/10,7 358,"Москва, ул. Николоямская, д. 38",Марксистская
Апарт-отель Ye's Mitino,9.3/10,4 000,"Москва, ул. Митинская, д. 16",Волоколамская
Гостиница Набат Палас Арбат,9.4/10,6 893,"Москва, ул. Старый Арбат, д. 28/1, стр. 2",Смоленская
Отель Ситикомфорт на Тверской,8.3/10,3 600,"Москва, Малый Гнездниковский пер., д. 12",Тверская
Гостиница Измайлово Дельта - Твой Отель,9.1/10,4 200,"Москва, Измайловское ш., д. 71к4г-д",Партизанская
Отель Сан-Ремо,8.3/10,4 200,"Москва, ул. Народная, д. 20, стр. 2",Таганская
Отель ShelterS Тульская,9.1/10,1 370,"Москва, ул. Большая Тульская, д. 2",Тульская
Отель Максима Панорама,9.3/10,4 640,"Москва, ул. Мастеркова, д. 4, 7 км трассы М-6 (Р22)",Автозаводская
Мини-отель На Камергерском,8.3/10,4 800,"Москва, ул. Большая Дмитровка, д. 7/5, стр. 1",Театральная
Мини-отель Shelterz Парк Горького,9.1/10,1 350,"Москва, Ленинский пр-кт, д. 30",Ленинский Проспект
Апарт-отель BAFY HOME,7.2/10,3 799,"Москва, Ленинский пр., д. 158",Тропарево
Отель Гости,8.9/10,3 400,"Москва, пер. Электрический, д. 3/10с1",Белорусская МЦД-4
Гостиница БуддОтель Москва,8.9/10,2 125,"Москва, ул. Расковой, д. 24, стр. 4",Савеловская
Отель Максима Славия,9.1/10,3 040,"Москва, Ярославское ш., д. 44",Бабушкинская
Grada Boutique Hotel,8.9/10,7 000,"Москва, ул. Кузнецкий мост, д. 6/3, стр. 3",Театральная
Отель Агиос на Курской,8.9/10,3 750,"Москва, ул. Воронцово Поле, д. 16/4",Чкаловская
Отель Ibis Budget,9.3/10,3 330,"Москва, ул. Маршала Рыбалко, д. 2к5/1",Панфиловская
Отель Президент,9.3/10,8 500,"Москва, ул. Большая Якиманка, д. 24",Полянка
Отель Петровский Путевой Дворец,9.3/10,9 000,"Москва, Ленинградский пр-т, д. 40",Петровский парк
Отель Акварель,9.6/10,13 200,"Москва, пер. Столешников, д. 12, 1 км трассы М-6 (Р22)",Театральная
Отель Андреевский,8.9/10,4 500,"Москва, ул. Павла Андреева, д. 4",Серпуховская
Мини-отель Бегемот Маяковская,9.3/10,4 600,"Москва, ул. Красина, д. 7, стр. 3",Маяковская
Апартаменты Булгаков,8.5/10,3 000,"Москва, ул. Арбат, д. 49, под.2",Смоленская
Апартаменты Happy Home,9.1/10,5 400,"Москва, Ленинский пр-кт, д. 158",Тропарево
Гостиница Ярославская,9.1/10,3 400,"Москва, ул. Ярославская, д. 8 корп. 1",ВДНХ
Гостиница Мартон ВДНХ,8.7/10,2 630,"Москва, ул. Ярославская, д. 10к2",ВДНХ
Гостиница А.Kosterev Moscow,9.3/10,2 600,"Москва, ул. Тверская, д. 9а, стр. 5",Охотный Ряд
Амай-отель на Первомайской,8.9/10,2 130,"Москва, ул. Верхняя Первомайская, д. 2А",Первомайская
Апарт-отель DIAMOND APARTMENTS,9.3/10,20 900,"Москва, 1-й Красногвардейский пр-д, д. 21, с. 2",Международная
Гостиница Авторский отель ПАРРАДОССО,9.4/10,8 590,"Москва, Настасьинский пер., д. 8, стр. 1",Чеховская
Отель Стромынка,8.9/10,3 000,"Москва, ул. Стромынка, д. 11",Сокольники
Гостиница Shelterx ВДНХ,8.9/10,1 600,"Москва, пр-т Мира, д. 184, стр. 1",Улица Сергея Эйзенштейна
Отель Авиалюкс,8.7/10,3 100,"Москва, Ленинградский пр-кт, д. 68, стр. 23, 9 км трассы М10",Сокол
Хостел 47 Небо,8.7/10,"1 549,40","Москва, Пресненская наб., д. 6с2",Выставочная
Отель Blues,9.3/10,6 850,"Москва, ул. Доватора, д. 8",Спортивная
Издатель Отель Тверская,8.9/10,4 900,"Москва, ул. Тверская, д. 12с2",Тверская
Апарт-отель Новый Арбат 10,8.9/10,7 800,"Москва, ул. Новый Арбат, д. 10",Арбатская
Гостиница Русотель,8.3/10,3 300,"Москва, Варшавское ш., 21 км, д. 1А, 4 км трассы М2",Битца МЦД-2
Hotel Continental,9.8/10,17 100,"Москва, ул. Тверская, д. 22",Пушкинская
Апарт-отель IT-rooms apartments,8.1/10,2 900,"Москва, ш. Варшавское, д. 125, стр. 1",Южная
Гостиница Ring Road,9.4/10,5 500,"Москва, ул. Беговая, д. 7",Беговая
Отель Юджин,9.1/10,3 000,"Москва, ул. Фридриха Энгельса, д. 20С1",Бауманская
Отель Norke ВАРШАВСКАЯ,8.7/10,3 520,"Москва, ул. Болотниковская, д. 5",Варшавская
Отель Арома на Кожуховской,8.9/10,2 270,"Москва, ул. Петра Романова, д. 7, стр. 2",Кожуховская
Гостиница Славянка Москва,9.1/10,2 880,"Москва, Суворовская площадь 2/3, 6 км трассы М-8",Достоевская
Отель Арфа,9.1/10,1 930,"Москва, ул. 1-я Новокузьминская, д. 19",Рязанский Проспект
Отель Лемар,8.5/10,4 000,"Москва, Расторгуевский пер., д. 4, стр. 2",Улица 1905 года
Отель Norke Prime Бауманская,9.1/10,4 400,"Москва, ул. Доброслободская, д. 6с1",Бауманская
Апарт-отель Loftet Apartments,8.7/10,2 700,"Москва, ул. Петра Романова, д. 7с1",Кожуховская
Апартаменты Потрясающая 4-х комнатная квартира у Кремля,10/10,18 000,"Москва, ул. Тверская, д. 6с3",Театральная
Отель Династия Лефортово,8.7/10,2 900,"Москва, ул. Красноказарменная, д. 3а",Лефортово
Отель Сити Комфорт,8.7/10,2 700,"Москва, Малый Златоустинский пер., д. 3",Китай-город
Kirin Hotel,9.1/10,1 380,"Москва, ул. Тверская, д. 12/6А",Тверская
Берси Арбат Отель,7.8/10,3 500,"Москва, ул. Новый Арбат, д. 16",Арбатская
Отель Hartwell Hotel Moscow,8.9/10,11 880,"Москва, ул. Садово-Кудринская, д. 21, корп. 5",Маяковская
Отель Холидей Инн Москва Сокольники,9.4/10,8 500,"Москва, ул. Русаковская, д. 24",Сокольники
Гостиница Измайлово Брентон Клуб Дельта,9.1/10,4 100,"Москва, Измайловское ш., д. 71к4ГД",Партизанская
Мини-отель Зеленый,9.1/10,3 999,"Москва, ул. Большая Черемушкинская, д. 32, к. 2",Академическая
Отель Арт Галактика,7.9/10,1 200,"Москва, ул. Садовая-Каретная, д. 20, стр. 3",Цветной бульвар
Отель ВО (VO Hotel),7.9/10,2 790,"Москва, ул. Нагорная, д. 26, корп. 1",Нагорная
Бутик-Отель Петровка 26,9.6/10,13 700,"Москва, ул. Петровка, д. 26с8",Трубная
Бутик-Отель Мастер Арбат,9.3/10,8 500,"Москва, пер. Сивцев Вражек, д. 45, стр. 1",Смоленская
Отель Облака,9.4/10,3 366,"Москва, ул. Крутицкий Вал, д. 8/22",Крестьянская застава
