Name,Rate,active_price,address,metro
Мини-отель Каширский,9.1/10,3 000,"Москва, Каширское ш., д. 9, корп. 1",Нагорная
Мини-отель Антик,9.6/10,5 900,"Москва, ул. Климашкина, д. 9",Улица 1905 года
Гостиница Дэтоль,9.4/10,3 900,"Москва, ул. Большая Филевская, д. 51, корп. 3",Пионерская
Гостиница Twelve Reasons,9.6/10,14 375,"Москва, ул. Земляной Вал, д. 56с3",Марксистская
Отель Сказка.Азия,8.9/10,3 100,"Москва, ш. Измайловское, д. 73ж, стр. 9",Партизанская
Отель Red Brick Presnya,8.9/10,5 490,"Москва, ул. Рочдельская, д. 15, стр. 22",Улица 1905 года
Отель Покровка 6,9.6/10,4 575,"Москва, ул. Покровка, д. 6",Чистые Пруды
Гостиница Crocus Tushino,7/10,2 800,"Москва, пр-д Донелайтиса, д. 14",Трикотажная МЦД-2
Отель PR Myasnitsky,9.3/10,9 390,"Москва, ул. Мясницкая, д. 13, стр. 3",Тургеневская
Отель Москва Марриот Мандарин Гарден Отель,8.3/10,4 005,"Москва, ул. Ольховская, д. 23",Красносельская
Апартаменты Новый Арбат 22 вид на Кремль,10/10,,"Москва, ул. Новый Арбат, д. 22",Смоленская
Отель Измайлово Гамма СБР Ника,9.1/10,3 600,"Москва, ш. Измайловское, д. 71к4Г-Д",Партизанская
Гостиница Державный,9.1/10,4 500,"Москва, ул. Ярославская, д. 8, корп. 2",ВДНХ
Гостиница Мистер Жулебин,9.3/10,4 400,"Москва, ул. Привольная, д. 2, стр. 1",Косино МЦД-3
Отель Рихтер,8.9/10,26 200,"Москва, ул. Пятницкая, д. 42",Третьяковская
Апартаменты LuxKV - Малая Филевская 4/1,8.5/10,3 150,"Москва, ул. Малая Филёвская, д. 4к1",Филевский Парк
Гостиница Дворец гимнастики Ирины Винер-Усмановой,9.3/10,8 500,"Москва, ул. Лужники, д. 24, стр. 24",Лужники
Бутик-Отель Печора,9.1/10,4 500,"Москва, Волоколамское ш., д. 62",Щукинская
Гостиница Старая Можайка,8.1/10,3 800,"Москва, рп. Новоивановское, д. 93, 2 км трассы М1",Немчиновка МЦД-1
Апарт-отель Loft на Окружной,9.1/10,3 220,"Москва, ул. Гостиничная, д. 10, к. 5",Окружная МЦД-1
Мини-отель Сокол,8.9/10,3 800,"Москва, ш. Волоколамское, д. 3",Сокол
Отель Радуга на 3-й Прядильной,8.9/10,800,"Москва, 3-ая Прядильная ул, 16А",Измайловская
Отель Spektrcity Hamovniki,8.9/10,4 950,"Москва, ул. Усачева, д. 35к1",Спортивная
Хостел Мама я в гостях,8.7/10,600,"Москва, Загородное ш., д. 8КВ",Крымская
Мини-отель На Мукомольном,9.1/10,4 400,"Москва, пр-д Мукомольный, д. 7, стр. 1",Шелепиха
Отель Мандарин,8.5/10,3 834,"Москва, ул. Ольховская, д. 23",Красносельская
Апарт-отель Эколайнер,9.3/10,4 900,"Москва, б-р. Ходынский, д. 20а, эт. 11",ЦСКА
Капсульный отель Dot Space 84,9.4/10,4 600,"Москва, наб. Пресненская, д. 12, эт. 84, апартаменты 8401",Международная
Мини-отель Ладомир в Филях,7.6/10,2 500,"Москва, ул. Василисы Кожиной, д. 14к2",Багратионовская
Гостиница Альфа Измайлово,9.6/10,5 190,"Москва, ш. Измайловское, д. 71ка",Партизанская
Апарт-отель Greenstone,9.8/10,6 400,"Москва, ул. Большая Переяславская, д. 14с1",Проспект Мира
Бутик-Отель 7 слонов,9.4/10,5 540,"Москва, ул. Маросейка, д. 7/8с1",Китай-город
Гостиница Ист-Вест,8.3/10,4 000,"Москва, Тверской бульвар, д. 14, стр. 4, 3 км трассы М10",Тверская
Отель Seven Hills на Трубной,9.1/10,3 700,"Москва, ул. Трубная, д. 15",Трубная
Гостиница Серпуховской Двор,9.3/10,3 500,"Москва, 2-ой Рощинский пр-д, д. 8",Ленинский Проспект
Бизнес-отель Алексеевский,8.1/10,3 100,"Москва, ул. Новоалексеевская, д. 20а, стр. 1",Алексеевская
Отель Roomley Сити,8.9/10,14 000,"Москва, Пресненская наб., д. 8с1",Выставочная
Апартаменты Киго Спартак,9.8/10,2 985,"Москва, ш. Волоколамское, д. 71/22к1",Спартак
Гостиница Измайлово Брентон,9.1/10,3 800,"Москва, ш. Измайловское, д. 71, к. 2Б",Партизанская
Отель Seven Hills на Брестской,8.9/10,4 700,"Москва, ул. 1-ая Брестская, д. 44",Белорусская
Санаторий Переделкино,8.7/10,5 200,"Москва, ул. 6-я Лазенки, д. 2",Переделкино МЦД-4
Отель Тайм,8.9/10,2 600,"Москва, ул. Судакова, д. 22/10",Люблино
Бизнес-отель Россо Рива,9.3/10,6 000,"Москва, Шлюзовая наб., д. 6 стр. 2",Павелецкая
Мини-отель Московье,9.6/10,5 900,"Москва, ул. Девятая Рота, д. 16с4",Преображенская Площадь
Парк-Отель Фили,8.9/10,3 900,"Москва, ул. Большая Филевская, д. 25/1",Багратионовская
Хостел Красная Москва,9.4/10,900,"Москва, ул. Садовая-триумфальная, д. 10/13, стр. 4",Маяковская
Отель Эрмитаж,8.7/10,5 775,"Москва, пер. Дурасовский, д. 7",Чкаловская
Отель Axel Hotel & Hostel,8.5/10,3 090,"Москва, Покровский б-р, д. 8с1",Чкаловская
Апарт-отель Knokey Басманный,9.6/10,7 100,"Москва, Басманный пер., д. 5",Комсомольская
Хостел FreeLife,8.5/10,700,"Москва, Известковый пер., д. 5, стр. 2",Марксистская
Отель Guenos Plaza,8.7/10,4 830,"Москва, ул. Коровий Вал, д. 1Ас3",Добрынинская
Отель Ситикомфорт на Новокузнецкой,8.5/10,3 000,"Москва, наб. Овчинниковская, д. 6, стр. 2",Новокузнецкая
Гостевой дом Пафос на Лубянке,7.9/10,2 325,"Москва, Варсонофьевский пер., д. 8с2",Кузнецкий Мост
Отель Norke КРАСНОСЕЛЬСКАЯ,8.7/10,4 780,"Москва, ул. Краснопрудная, д. 24, корп. 2",Красносельская
Viewpoint Hotel,9.1/10,9 250,"Москва, наб. Садовническая, д. 7",Новокузнецкая
Круиз Румянцево,7.9/10,2 970,"Москва, п. Мосрентген, Квартал № 9, д. 210",Румянцево
Отель Везендорф-Таганка,8.9/10,3 900,"Москва, ул. Абельмановская, д. 9, стр. 1",Пролетарская
Отель Содерис Резиденс & СПА,9.4/10,5 350,"Москва, ул. 2-я Бородинская, д. 20",Киевская
Хостел Город Снов,9.6/10,1 350,"Москва, ул. Милашенкова, д. 9а, пом. 1/2",Фонвизинская
Хостел ОСТТРОВ,9.1/10,700,"Москва, Космодамианская наб., д. 4/22А",Новокузнецкая
Отель Ключевой Элемент,9.3/10,3 680,"Москва, ул. Большая Никитская, д. 24/1, стр. 5",Арбатская
от3 900руб.,9.6/10,3 900,"Москва, ул. Беговая, д. 11",Беговая
Мини-отель NORD INN,8.3/10,2 438,"Москва, 3-я ул. Ямского поля, д. 20, стр. 2",Белорусская
Отель Палаты Хованских,9.6/10,5 190,"Москва, пер-к Старопименовский, д. 11с2",Маяковская
Гостиница Лайт на Барвихинской,8.1/10,3 090,"Москва, ул. Барвихинская, д. 16, корп. 3, 1 км трассы М1",Сетунь МЦД-1
Starboard Side Hotel,9.6/10,6 000,"Москва, ул. Большая Тульская, д. 2",Тульская
Мини-отель Guest Room SAD 2,9.3/10,2 800,"Москва, б-р Цветной, д. 16/1",Трубная
Отель Чемодановъ,9.4/10,6 420,"Москва, ул. Покровка, д. 2/1, стр. 1",Китай-город
Мини-отель КАННА,9.3/10,5 000,"Москва, ул. Чаянова, 12",Новослободская
Гостиница Золотой Компас,8.9/10,2 900,"Москва, ул. Ярославская, д. 10к1",ВДНХ
Апарт-отель Винтерфелл Стрешнево,9.3/10,6 090,"Москва, ш. Волоколамское, д. 81/2с3",Трикотажная МЦД-2
Мини-отель Ладомир на Зельевом,8.1/10,2 187,"Москва, пер. Зелье, д. 3",Преображенская Площадь
Мини-отель Южный порт,9.1/10,3 960,"Москва, 2-й Южнопортовый пр-д, д. 5/1",Кожуховская
Отель Клевер,9.3/10,5 600,"Москва, ул. Барышиха, д. 57б",Пятницкое шоссе
Отель Цветной Бульвар,9.6/10,6 000,"Москва, ул. Трубная, д. 17с2",Трубная
Отель Golden Horse,7.6/10,6 850,"Москва, пер. Большой Златоустинский, д. 2/8, стр.1",Лубянка
Гостиница Бута,9.3/10,4 700,"Москва, Варшавское ш., д. 21",Верхние Котлы
Отель Андрон на площади Ильича,8.3/10,2 160,"Москва, пер. Съезжинский, д. 8, ст. 1",Площадь Ильича
Мини-отель Выставка,8.9/10,3 500,"Москва, ул. 2-я Черногрязская, д. 10",Улица 1905 года
Гостиница Байкал,8.1/10,2 200,"Москва, ул. Сельскохозяйственная, д. 15, стр.1",Ботанический Сад
Хостел Travel Inn Тимирязевская,7.8/10,435,"Москва, ул. Ивановская, д. 23",Тимирязевская
Отель Ристория,8.1/10,4 600,"Москва, пр. Пролетарский, д. 45",Кантемировская
Мини-отель Brilliance,9.6/10,4 600,"Москва, ул. Гамалеи, д. 12",Щукинская
Отель Веллион Сухаревский,9.3/10,5 600,"Москва, ул. Большая спасская, д. 13/1",Сухаревская
Мини-отель на Таганской,8.9/10,1 390,"Москва, ул. Николоямская, д. 45с2",Марксистская
Отель Novy Arbat Residence,7.6/10,7 440,"Москва, Прямой пер., д. 3, стр. 1",Смоленская
Апартаменты Art Seasons Apartments,8.3/10,4 207,"Москва, ул. Казакова, д. 8с2",Курская МЦД-2
Мини-отель Benvenuti,9.4/10,3 400,"Москва, пр. Волгоградский, д. 105",Кузьминки
Комплекс апартаментов ВОСТОК,8.7/10,2 800,"Москва, ул. Гостиничная, д. 9",Окружная МЦД-1
Мини-отель City Garden Hotel Taganskaya,9.6/10,1 997,"Москва, ул. Земляной Вал, д. 54, стр. 2",Марксистская
ApartLux Профсоюзная,9.4/10,6 000,"Москва, ул. Профсоюзная, д. 19",Профсоюзная
Апартаменты Demiflat,8.7/10,2 645,"Москва, кв-л Южный, д. 9",Остафьево МЦД-2
Отель Кирпич,9.3/10,5 300,"Москва, ул. Лесная, д. 55",Менделеевская
Тверской Бутик отель Sleepy Tom,9.4/10,6 435,"Москва, пер. Старопименовский, д. 11 стр. 6",Маяковская
Отель ЛУНА,9.4/10,6 200,"Москва, ул. Ботаническая, д. 41 к. 7",Владыкино
Гостиница Сова на Белорусской,8.1/10,3 900,"Москва, ул. Грузинский Вал, д. 26, стр. 2",Белорусская МЦД-4
Отель Комфорт,8.1/10,2 800,"Москва, ул. Маршала Баграмяна, д. 4",Люблино
Апарт-отель Knokey Тверская,9.3/10,7 700,"Москва, ул. 2-я Брестская, д. 6",Маяковская
Гостиница Памир - Тянь-Шань,9.3/10,9 500,"Московская обл., Одинцовский р-н, д. Сколково, ул. Новая, д. 100",Немчиновка МЦД-1
Хостел Гутен Дак Москва,9.3/10,1 420,"Москва, пер. Потаповский, д.  8/12 с2",Чистые Пруды
Отель Садовое кольцо,9.3/10,8 000,"Москва, пр. Мира, д. 14с2",Сухаревская
Отель Ангелина на Рублевском,8.5/10,4 500,"Москва, ул. Истринская, д. 8, стр. 3",Кунцевская
Отель Лубянка Румс,9.4/10,"4 191,75","Москва, ул. Рождественка, д. 5/7с2",Кузнецкий Мост
Гостиница Винтерфелл на Третьяковской,8.9/10,2 290,"Москва, ул. Малая Ордынка, д. 24",Полянка
Гостиница НИКОНОВКА,9.3/10,4 555,"Москва, Никоновский пер., д. 3/1",Достоевская
Мини-отель Фрателли,9.3/10,5 040,"Москва, ул. Тверская, д. 12, стр. 2",Тверская
Отель The Rooms Boutique Hotel,9.3/10,7 130,"Москва, ул. Николоямская, д. 38/23с3",Марксистская
Парадис Отель на Чистых Прудах,8.7/10,4 000,"Москва, ул. Чаплыгина, д. 6",Чистые Пруды
Апартаменты LuxKV - Садовая-Триумфальная 4/10,8.7/10,4 500,"Москва, ул. Садовая-Триумфальная, д. 4/10",Маяковская
Мини-отель Чайковский,9.3/10,"5 162,08","Москва, ул. Большая Никитская, д. 24/1, стр. 6",Арбатская
Хостел Stalker Sokolniki,8.7/10,"1 244,50","Москва, ул. Стромынка, д. 11",Сокольники
Мини-отель Ладомир,8.7/10,2 500,"Москва, ул. Борисовские Пруды, д. 16к2",Борисово
Хостел Travel Inn на Комсомольской,7.8/10,590,"Москва, ул. Новая Басманная, д. 10с1",Красные Ворота
Garden Hotel,7.9/10,3 700,"Москва, ул. Старообрядческая, д. 12",Москва Товарная МЦД-2
Мини-отель Вилла Кадаши,9.6/10,8 645,"Москва, 2-й Кадашевский пер., д. 16с1",Третьяковская
Отель Сити Стар,9.4/10,3 900,"Москва, ул. 6-я Кожуховская, д. 3к2",Автозаводская
Гостиница Абсалют Измайлово ВЕГА,9.4/10,5 700,"Москва, Измайловское ш., д. 71, корп. 3В",Измайлово
Хостел Рус Чистые Пруды,8.5/10,900,"Москва, пер. Архангельский, д. 11/16с3",Чистые Пруды
Гостиница Fortis,9.3/10,4 400,"Москва, ул. Шарикоподшипниковская, д. 11, стр. 7",Дубровка
Апарт-отель Наумов на Сретенке 1,8.9/10,7 500,"Москва, ул. Сретенка, д. 1, 1 км трассы М-6 (Р22)",Сретенский бульвар
Апарт-отель Port Comfort on Pokrovka,9.3/10,3 060,"Москва, ул. Покровка, д. 29",Курская
Отель Ситипарк,9.4/10,3 515,"Москва, ул. Годовикова, д. 7а",Алексеевская
Хостел Макаров,8.5/10,850,"Москва, ул. Садовническая, д. 22, стр. 2",Новокузнецкая
Апарт-отель Knokey Петровский парк,9.6/10,5 000,"Москва, Ленинградский пр-кт, д. 35с2",Петровский парк
Гостиница Даниловская,9.3/10,5 040,"Москва, Большой Староданиловский пер., д. 5",Тульская
Отель Гостеприимный дом Ботанический,8.9/10,3 000,"Москва, Лазоревый пр-д, д. 12",Ботанический Сад
Апарт-отель Knokey Алексеевская,4.4/10,5 600,"Москва, ул. Новоалексеевская, д. 16к2",Алексеевская
Гостиничный Холдинг МОМИ,9.3/10,3 472,"Москва, ул. Автозаводская, д. 17к1",Автозаводская
Отель Строгино Экспо,7.6/10,5 723,"Москва, ул. Таллинская, д. 26",Строгино
Гостиница KristInn,9.1/10,4 000,"Москва, 1-ый пр-д Перова Поля, д. 9, стр. 1",Перово
Гостиница Озерковская,9.3/10,4 500,"Москва, Озерковская Набережная, д. 50/2",Павелецкая
Отель Петровка 17,8.9/10,4 256,"Москва, ул. Петровка, д. 17с5",Чеховская
Мини-отель Time.House,9.3/10,3 000,"Москва, пр-д Кутузовский, д. 6",Кутузовская МЦД-4
Апартаменты LuxKV - Смоленский,9.6/10,4 500,"Москва, пер. 1-й Смоленский, д. 24",Смоленская
Мини-отель Оранжевый Рай,8.3/10,2 290,"Москва, ул. Нижние Поля, д. 31, стр.1",Перерва МЦД-2
от3 700руб.,8.9/10,3 700,"Москва, Коровинское ш., д. 13 к 2",Моссельмаш МЦД-3
Отель Ирониум,8.3/10,4 600,"Москва, Колпачный пер., д. 4с4",Чистые Пруды
Отель Минт на Тишинке,8.9/10,2 070,"Москва, Средний Тишинский пер., д. 24-26, стр. 1",Белорусская МЦД-4
Гостиница На Казачьем,8.9/10,6 340,"Москва, Казачий 1-й пер., д. 4",Полянка
Хостел Ва-банк,9.1/10,803,"Москва, Потаповский пер., д. 12",Чистые Пруды
Мини-отель Мираж на Юрловском проезде,9.4/10,2 700,"Москва, пр-д Юрловский, д. 14к1",Бибирево
Апартаменты КИГО лайнер,9.3/10,2 250,"Москва, Ходынский б-р, д. 2",ЦСКА
Отель Тайм 2,8.9/10,3 100,"Москва, ул. Ставропольская, д. 14",Люблино МЦД-2
Апарт-отель Knokey Савёловская SkyView,9.4/10,5 200,"Москва, ул. Новодмитровская, д. 2к1а",Дмитровская
Апартаменты Уютная студия возле метро Бауманская,8.9/10,3 996,"Москва, ул. Радио, д. 14с1",Бауманская
Отель Арион,9.3/10,5 700,"Москва, ул Автозаводская, 1, 3 этаж",Автозаводская
Мини-отель Arthoff,9.4/10,5 990,"Москва, ул. Большая Почтовая, д. 34с4А",Электрозаводская МЦД-3
Отель Norke Prime Зарядье,9.1/10,5 175,"Москва, Подколокольный пер., д. 8с6",Китай-город
Отель BookHome,8.3/10,2 800,"Москва, ул. Малая Грузинская, д. 3-9",Краснопресненская
Отель Воронцовский,9.3/10,6 780,"Москва, Воронцовский пер., д. 5/7 стр. 2",Крестьянская застава
от5 500руб.,8.9/10,5 500,"Москва, ул. Профсоюзная, д. 4",Академическая
Апарт-отель На Таганке возле Кремля,9.4/10,"8 327,70","Москва, ул. Николоямская, д. 38, стр. 1",Марксистская
Гостиница Мария,8.7/10,3 000,"Москва, ул. Верхняя Первомайская, д. 49А",Первомайская
Отель Апельсин на Лобачевского,8.9/10,3 500,"Москва, ул. Лобачевского, д. 52к1",Проспект Вернадского
Гостиница Реакомп,8.5/10,3 500,"Москва, Протопоповский пер-к, д. 9, стр. 1",Проспект Мира
Гостиница День и Ночь на Мичуринском,8.7/10,6 000,"Москва, пр. Мичуринский, д. 29, корп. 1",Раменки
Хостел Илиан,8.9/10,830,"Москва, ул. 5-я Магистральная, д. 14, стр. 1",Беговая МЦД-1
Отель Милан,9.3/10,8 820,"Москва, ул. Шипиловская, д. 28А",Домодедовская
Мини-отель Benvenuti hotel-2,9.4/10,3 400,"Москва, ул. Юных Ленинцев, д. 73, корп. 1",Кузьминки
Отель Арт-отель Моцарт,8.5/10,4 210,"Москва, Марксистская ул., д. 20с9",Марксистская
Гостиница Крон-Отель,8.7/10,4 185,"Москва, Ленинградское ш., д. 61, стр. 4",Речной Вокзал
Отель Медея,9.4/10,6 500,"Москва, Пятницкий пер., д. 4с1, 6 км трассы М-6 (Р22)",Новокузнецкая
Отель Innova Hotel,8.5/10,4 280,"Москва, ул. Зацепа, д. 27",Павелецкая
Отель Джентэльон,8.9/10,7 085,"Москва, ул. 1-я Брестская, д. 38, стр. 1",Маяковская
Отель Алеон,9.4/10,5 310,"Москва, ул. Валовая,32/75 стр. 1 этаж 2",Добрынинская
Гостиница Новый Восход,8.3/10,2 490,"Москва, Алтуфьевское ш., д. 2",Владыкино
от3 600руб.,9.4/10,3 600,"Москва, ул. Академика Миллионщикова, д. 31",Каширская
Отель Покровский Дом,9.1/10,5 400,"Москва, ул. Покровка, д. 43, стр. 2",Курская
Хостел Rooms,8.1/10,850,"Москва, ш. Энтузиастов, д. 26",Авиамоторная МЦД-3
Отель Мелтон,8.5/10,3 650,"Москва, ул. Барышиха, д. 40, корп. 1",Пятницкое шоссе
Гостиница МосУз центр,8.9/10,4 420,"Москва, ул. Зеленодольская, д. 3, стр. 2",Рязанский Проспект
Уют на улице Маршала Кожедуба,8.3/10,2 800,"Москва, ул. Маршала Кожедуба, д. 8",Люблино
Апартаменты Квартира Свободна - Новый Арбат 26,9.4/10,"5 119,20","Москва, ул. Новый Арбат, д. 26",Смоленская
Хостел Good Mood Hostel,9.4/10,1 600,"Москва, Малый Златоустинский пер-к, д. 2",Китай-город
Хостел HotelHot Бауманская,7.8/10,440,"Москва, ул. Спартаковская, д. 6, стр. 2",Бауманская
Отель Палермо,9.4/10,3 900,"Москва, ул. Чистова, д. 19",Волжская
Мини-отель Ладомир на Русаковской,8.3/10,2 700,"Москва, ул. Русаковская, д. 28",Сокольники
Отель Везендорф,9.4/10,4 880,"Москва, ул. Инессы Арманд, д. 8/17",Битцевский парк
Отель Вега Измайлово,9.3/10,4 675,"Москва, Измайловское ш. 71, стр. 3В",Партизанская
Апарт-отель Moscow Tower,9.8/10,,"Москва, Ленинградский пр-кт, д. 34А",Динамо
Гостиница Первомайская,8.7/10,3 600,"Москва, ул. Нижняя Первомайская, д. 77, стр. 1",Первомайская
Отель Таёжный,9.1/10,4 000,"Москва, Волоколамское шоссе, 89/1",Трикотажная МЦД-2
Отель Измайлово Дельта СБР Ника,9.3/10,4 200,"Москва, ш. Измайловское, д. 71к4Г-Д",Партизанская
Хостел Travel Inn Преображенская,7.9/10,460,"Москва, ул. 9-я Рота, д. 16, стр. 2",Преображенская Площадь
Отель Вояж Парк,9.1/10,4 800,"Москва, ул. Крылатская, д. 12, корп. 4",Мневники
Отель Orange House,8.1/10,3 400,"Москва, пр. Севастопольский, д. 7/8",Верхние Котлы
Flori hotel,8.7/10,3 230,"Москва, ул. 5-я Кабельная, д. 2с1",Нижегородская
Гостиница Митино,8.7/10,3 200,"Москва, Пятницкое ш., д. 18",Волоколамская
Мини-отель Отдых-4,7.9/10,2 400,"Москва, ул. Армавирская, д. 3",Люблино
Гостиница Арбат,9.3/10,6 400,"Москва, Плотников пер., д. 12",Смоленская
Апартаменты AP-iN aparts,9.8/10,8 400,"Москва, ул. Василисы Кожиной, д. 13, подъезд 2",Багратионовская
Гостиница Соколиная гора,9.1/10,3 700,"Москва, 3-я ул. Соколиной Горы, д. 19",Шоссе Энтузиастов
Хостел ДобролюбовЪ,8.5/10,530,"Москва, ул. Добролюбова, д. 14а",Бутырская
Апартаменты Смоленская 10,9.3/10,5 850,"Москва, ул. Смоленская, д. 10",Смоленская
Отель Florinn,9.3/10,5 124,"Москва, ул. Тверская, д. 12с7",Тверская
Мини-отель Панорама Сити,8.9/10,13 481,"Москва, наб. Пресненская, д. 6, стр. 2, этаж 48",Выставочная
Мини-отель Nordic Rooms,9.1/10,4 200,"Москва, ул. Большая Марьинская, д. 2",Алексеевская
Гостиница Юность,8.1/10,4 500,"Москва, ул. Хамовнический Вал, д. 34",Спортивная
Отель и апартаменты Звезды Арбата,9.3/10,10 800,"Москва, ул. Новый Арбат, д. 32",Смоленская
Апарт-отель Weekend Inn,9.3/10,3 400,"Москва, ул. Пятницкая, д. 10 с. 1",Новокузнецкая
Мини-отель Риверсайд Коломенское,8.7/10,3 600,"Москва, Нагатинская наб., д. 46",Технопарк
Отель Хитровка,9.1/10,5 290,"Москва, Певческий пер., д. 4",Китай-город
Капсульный хостел Арбат 25,8.3/10,903,"Москва, ул. Арбат, д. 25/36",Арбатская
Апартаменты LuxKV - 1-й Тверской-Ямской пер,9.8/10,"6 806,70","Москва, пер. 1-й Тверской-Ямской, д. 14",Маяковская
Апартаменты FoRRest Vodny,8.7/10,3 938,"Москва, Кронштадтский бульвар, д. 6к3",Водный Стадион
Отель Скайвью Сити,8.7/10,4 000,"Москва, ул. Большая Никитская, д. 24/1, стр. 6",Арбатская
от4 400руб.,9.1/10,4 400,"Москва, пер. Дегтярный, д. 15",Чеховская
Мини-отель Ладомир на Уральской,8.9/10,2 250,"Москва, ул. Уральская, д. 23к4",Щелковская
Апартаменты Премиум Апартмент Павелецкая,9.6/10,4 000,"Москва, ул. Дубининская, д. 11/17с3",Павелецкая
Отель Космо Мандарин Москва Гамма,8.5/10,3 680,"Москва, ул. Ольховская, д. 23",Красносельская
Мини-отель HAYAT,8.5/10,4 025,"Москва, ул. Краснодарская, д. 66",Люблино
Отель Hanzer,8.9/10,"3 271,56","Москва, пер. Большой Головин, д. 25",Сухаревская
Апартаменты JackPot Energy Hotel,9.3/10,3 900,"Москва, пер. Грохольский, д. 32, стр. 2",Площадь трёх вокзалов МЦД-4
Отель Сити'ко на Пушкинской,10/10,5 500,"Москва, пер. Козицкий, д. 1Ас2",Чеховская
Гостиница Садовническая City Center,9.4/10,6 710,"Москва, ул. Садовническая, д. 20с1",Новокузнецкая
Гостиница Комфорт Класс,8.9/10,3 700,"Москва, ул. Часовая, д. 11",Аэропорт
Апартаменты Уютная четверка рядом с Тверской и Кремлем,9.8/10,15 000,"Москва, пер. Старопименовский, д. 16",Маяковская
Апартаменты KIGO Park Legend,9.4/10,1 550,"Москва, ул. Автозаводская, д. 23, стр. 120/6, кв. 9",ЗИЛ
Апартаменты В ЖК Технопарк,7.2/10,3 389,"Москва, ул. Автозаводская, д. 23с931к3",Технопарк
Хостел Братиславская,9.6/10,1 000,"Москва, ул. Братиславская, д. 6",Братиславская
Дизайнерские апартаменты у м. Динамо,9.8/10,8 710,"Москва, Ленинградский пр-т, д. 35с2",Петровский парк
Мини-отель Ладомир на Яузе,8.1/10,2 500,"Москва, пер. Большой Матросский, д. 1",Электрозаводская
Гостиница Апельсин Преображенская площадь,8.1/10,3 500,"Москва, ул. Краснобогатырская, д. 44а",Преображенская Площадь
Гостиница Glenver Garden 4*,9.3/10,6 690,"Москва ул. Кожевническая, д. 4",Павелецкая
Хостел Мир,9.1/10,650,"Москва, ул. Бауманская, д. 56/17",Бауманская
Мини-отель Мери Поппинс Арбат,8.9/10,6 790,"Москва, ул. Большая Молчановка, д. 30/7, стр. 1",Смоленская
Апартаменты ЖК Донской Квартал,9.1/10,3 389,"Москва, пер. Духовской, д. 19с2",Тульская
Апартаменты KIGO Moscow City,9.8/10,9 500,"Москва, Пресненская набережная, д. 12",Международная
Отель Формула За рулём,8.3/10,"1 939,50","Москва, 5-й пр-д Подбельского, д. 4А",Бульвар Рокоссовского
Хостел ArtCapsule,8.5/10,900,"Москва, ул. ​Николоямская, д. 52 ст.2",Марксистская
Гостиница Акварель,7.9/10,2 400,"Москва, ул. Монтажная, д. 7, стр. 8",Щелковская
Хостел Города Мира,9.3/10,1 050,"Москва, ул. Красина, д. 27с2, этаж 2",Маяковская
Отель Chez Michel,9.4/10,5 000,"Москва, ул. Красная Пресня, д. 13",Краснопресненская
Хостел Милан,9.1/10,1 000,"Москва, Шубинский пер., д. 2/3",Смоленская
Отель Таганка,8.9/10,4 600,"Москва, ул. Марксистская, д. 34с2",Крестьянская застава
от3 800руб.,9.3/10,3 800,"Москва, Малый Златоустинский пер., д. 2",Китай-город
Апартаменты Двухкомнатные на Арбате,10/10,9 855,"Москва, пер. Калошин, д. 6с1",Смоленская
от3 900руб.,8.9/10,3 900,"Москва, ул. 4-я Тверская-Ямская, д. 8/9",Маяковская
Отель Винтерфелл на Арбате,8.7/10,2 390,"Москва, Трубниковский пер., д 24, стр. 1",Смоленская
Бутик-Отель Мясницкий,9.3/10,6 890,"Москва, ул. Мясницкая, д. 14/2, стр. 1",Лубянка
Апартаменты BAFY HOME на нахимовском проспекте,5.5/10,3 799,"Москва, пр-кт Нахимовский, д. 31к3",Профсоюзная
Хостел На Пресне,8.1/10,750,"Москва, Большой Тишинский пер., д. 8, стр. 1",Белорусская МЦД-4
Апарт-отель На Ходынке,8.9/10,6 625,"Москва, Ходынский б-р, д. 20а, Сектор Г, 8 этаж",ЦСКА
Мини-отель Солотель,8.5/10,3 080,"Москва, ул. Тверская, д. 12, стр. 2",Тверская
Мини-отель Базис-М,9.3/10,4 130,"Москва, Чистопрудный б-р, д. 11, стр. 1",Чистые Пруды
Апартаменты Квартира Свободна - Новый Арбат 10,9.3/10,"5 119,20","Москва, ул. Новый Арбат, д. 10",Арбатская
Гостиница Учебный центр профсоюзов,8.7/10,2 200,"Москва, пос. Дубровский, Советская, д. 11",Битца МЦД-2
Хостел Mila Guest House,9.1/10,1 400,"Москва, Большой Каретный пер., д. 8, стр. 1",Цветной бульвар
Отель Арткорт Москва Центр,9.1/10,10 000,"Москва, Вознесенский пер., д. 7, 3 км трассы М10",Охотный Ряд
Отель B.60,9.6/10,11 000,"Москва, ул. 1-я Брестская, д. 60",Белорусская
Гостиница Винтерфелл на Бауманской,8.9/10,2 090,"Москва, ул. Малая почтовая, д. 2/2",Бауманская
Отель Ватсон,9.3/10,"5 117,50","Москва, ул. Новая Басманная, д. 35",Бауманская
Отель Инь-Янь,8.7/10,3 500,"Москва, ул. Татищева, д. 3",Шаболовская
Бутик-Отель Де Пари,9.3/10,7 550,"Москва, ул. Большая Бронная, д. 23, стр. 3",Пушкинская
Апарт-отель Garden Embassy,9.3/10,8 330,"Москва, Ботанический пер., д. 5",Проспект Мира
Гостиница Сервис размещения Вега Измайлово (Фаворит),9.3/10,4 500,"Москва, Измайловское ш., д. 71, 3в",Партизанская
