Name,Kitchen,Time,Rate,Price,Metro
Positano,Итальянская кухня,Открыто до 00:00,Промо,1700 - 3000,Маяковская
Рыба моя,Европейская кухня,Открыто до 00:00,9.4,1700 - 3000,Цветной бульвар;Трубная
Lao Lee Café,Вьетнамская кухня,Открыто до 23:00,9.4,700 - 1700,Новослободская;Менделеевская
Винный базар на Комсомольском,Европейская кухня,Открыто до 01:00,9.2,700 - 1700,Парк культуры;Фрунзенская
Lumberjack Bar,Американская кухня,Открыто до 00:00,9.0,1700 - 3000,Китай-город
Боэми,Сербская кухня,Открыто до 23:00,9.0,1700 - 3000,Краснопресненская;Баррикадная
Scrocchiarella,Итальянская кухня,Открыто до 00:00,9.0,700 - 1700,Китай-город
Энтузиаст,Американская кухня,Открыто до 00:00,9.0,700,Тверская;Пушкинская
I Like Wine,Европейская кухня,Открыто до 00:00,9.0,1700 - 3000,Чистые пруды;Тургеневская
Lucky Izakaya Bar,Японская кухня,Открыто до 00:00,9.0,1700 - 3000,Арбатская
Лепим и варим,Русская кухня,Открыто до 23:00,9.0,700,Тверская;Пушкинская
Хинкали Point,Хинкали,Открыто до 23:00,9.0,700,Китай-город
Бутчер,Американская кухня,Открыто до 00:00,9.0,3000,Китай-город
Mitzva Bar,Еврейская кухня,Открыто до 03:00,9.0,700 - 1700,Новокузнецкая;Третьяковская
Touché,Европейская кухня,Открыто до 23:00,8.9,1700 - 3000,Краснопресненская;Баррикадная
Китайская грамота,Китайская кухня,Открыто до 00:00,8.9,1700 - 3000,Чистые пруды;Тургеневская
Zodiac,Авторская кухня,Открыто до 00:00,8.9,1700 - 3000,Смоленская
Субботица Садовая,Европейская кухня,Открыто до 00:00,8.9,1700 - 3000,Маяковская;Краснопресненская
Натахтари на Маросейке,Грузинская кухня,Открыто до 00:00,8.9,700 - 1700,Китай-город
I Like Wine 2.0,Европейская кухня,Открыто до 00:00,8.9,1700 - 3000,Парк культуры
Grammy's,Караоке,Открыто до 06:00,8.8,3000,Киевская
Björn,Авторская кухня,Открыто до 00:00,8.8,1700 - 3000,Новокузнецкая;Третьяковская
Сахли,Грузинская кухня,Открыто до 23:00,8.8,1700 - 3000,Цветной бульвар;Трубная
Beer & Brut,Гастропабы,Открыто до 00:00,8.8,1700 - 3000,Чистые пруды;Курская
Рынок и общепит,Вайфай,Открыто до 23:00,8.8,700 - 1700,Новослободская;Менделеевская
Дарбази,Грузинская кухня,Открыто до 23:00,8.8,1700 - 3000,Таганская;Марксистская
Bổ,Вьетнамская кухня,Открыто до 21:00,8.8,700,Тульская
I Like Grill,Стейки,Открыто до 00:00,8.8,3000,Парк культуры
Let's Rock Bar,Европейская кухня,Открыто до 00:00,8.8,700 - 1700,Охотный Ряд;Театральная
Moscow — Delhi,Индийская кухня,Открыто до 22:00,8.8,1700 - 3000,Маяковская
Pinzeria by Bontempi,Пицца,Открыто до 23:00,8.8,700 - 1700,Кропоткинская
Martinez,Бары,Открыто до 04:00,8.8,700 - 1700,Чистые пруды;Тургеневская
Даблби,Кофейни,Открыто до 23:00,8.8,,Лубянка;Кузнецкий Мост
Torro Grill,Стейки,Открыто до 00:00,8.7,1700 - 3000,Пролетарская;Крестьянская Застава
Рыба моя Market,Рыба и морепродукты,Открыто до 23:00,8.7,1700 - 3000,Белорусская;Новослободская
Человек и пароход,Кофейни,Открыто до 21:00,8.7,,Тульская
Burger Heroes,Американская кухня,Открыто до 23:45,8.7,700,Новокузнецкая;Третьяковская
Bellis Lounge & Karaoke Bar,Караоке,Открыто до 06:00,8.7,1700 - 3000,Тверская;Пушкинская
Пипл & Паста,Паста,Открыто до 23:00,8.7,700 - 1700,Цветной бульвар;Трубная
Mr. Ливанец,Ливанская кухня,Открыто до 00:00,8.7,700 - 1700,Тверская;Пушкинская
Натахтари в Большом Черкасском,Грузинская кухня,Открыто до 00:00,8.6,700 - 1700,Китай-город
Пушкин,Русская кухня,Открыто до 00:00,8.6,3000,Тверская;Пушкинская
Dr. Живаго,Русская кухня,Открыто до 00:00,8.6,1700 - 3000,Охотный Ряд;Театральная
Рыба моя,Рыба и морепродукты,Открыто до 00:00,8.6,1700 - 3000,Белорусская;Маяковская
Бардак,Турецкая кухня,Открыто до 23:00,8.6,700 - 1700,Китай-город
Fruits & Veges,Вайфай,Открыто до 22:00,8.6,700,Курская;Чкаловская
Мару,Японская кухня,Открыто до 22:30,8.6,700,Новослободская;Менделеевская
True Cost Никуда не едем,Европейская кухня,Открыто до 00:00,8.6,700 - 1700,Улица 1905 года
Семифреддо,Итальянская кухня,Открыто до 23:30,8.6,3000,Парк культуры
City Space Bar & Restaurant,Коктейльная карта,Открыто до 00:00,8.6,3000,Павелецкая
Table,Кафе,Открыто до 21:00,8.5,700,Белорусская;Менделеевская
Северяне,Европейская кухня,Открыто до 00:00,8.5,1700 - 3000,Библиотека им. Ленина;Арбатская
Powerhouse,Европейская кухня,Открыто до 00:00,8.5,700 - 1700,Таганская;Марксистская
Maestrello,Итальянская кухня,,8.5,700 - 1700,Чистые пруды;Курская
Tehnikum,Европейская кухня,Открыто до 00:00,8.5,1700 - 3000,Охотный Ряд;Театральная
Noor,Европейская кухня,Открыто до 03:00,8.5,1700 - 3000,Маяковская;Тверская
Чайковский,Европейская кухня,Открыто до 00:00,8.5,1700 - 3000,Маяковская
Хитрые люди,Кафе,Открыто до 00:00,8.5,700 - 1700,Курская;Чкаловская
Чайная высота. Дом чая и мороженого,Кондитерские,Открыто до 23:00,8.5,,Чистые пруды;Тургеневская
Il massimo,Пицца,Открыто до 23:00,8.5,700 - 1700,Автозаводская
Обломов,Европейская кухня,Открыто до 00:00,8.5,1700 - 3000,Новокузнецкая;Добрынинская
Батони,Грузинская кухня,Открыто до 00:00,8.5,700 - 1700,Фрунзенская;Спортивная
Бутчер,Стейки,Открыто до 00:00,8.5,3000,Цветной бульвар;Трубная
Rico Moscow,Рыба и морепродукты,Открыто до 23:00,8.5,1700 - 3000,Смоленская
Mushrooms,Европейская кухня,Открыто до 00:00,8.5,1700 - 3000,Полянка
Twins Garden,Авторская кухня,Открыто до 00:00,8.5,3000,Тверская;Пушкинская
Selfie,Авторская кухня,Открыто до 00:00,8.4,1700 - 3000,Краснопресненская;Баррикадная
Pizza 22 cm,Европейская кухня,Открыто до 23:00,8.4,700 - 1700,Китай-город
Molon Lave,Греческая кухня,Открыто до 00:00,8.4,1700 - 3000,Белорусская
Колбасофф,Пивные рестораны,Открыто до 00:00,8.4,700 - 1700,Октябрьское Поле
Кот Шредингера,Европейская кухня,Открыто до 23:00,8.4,700 - 1700,Тверская;Пушкинская
Andiamo,Итальянская кухня,Открыто до 05:00,8.4,1700 - 3000,Университет
Турандот,Европейская кухня,Открыто до 00:00,8.4,3000,Тверская;Пушкинская
Moments,Гастробары,Открыто до 23:00,8.4,700 - 1700,Павелецкая
Ароматная река,Вьетнамская кухня,Открыто до 00:00,8.4,700 - 1700,Бауманская
Laffa Laffa,Ливанская кухня,Открыто до 23:00,8.4,700 - 1700,Тверская;Пушкинская
Дружба,Кафе,Открыто до 21:00,8.4,700,Сухаревская
Coin Hall,Банкетные залы,,8.4,,Добрынинская;Серпуховская
Иерусалим,Европейская кухня,Открыто до 23:00,8.4,700 - 1700,Тверская;Пушкинская
Extra Virgin,Средиземноморская кухня,Открыто до 00:00,8.4,1700 - 3000,Чистые пруды;Тургеневская
Casa di famiglia,Итальянская кухня,Открыто до 23:00,8.4,700 - 1700,Перово
Cutfish,Японская кухня,Открыто до 00:00,8.4,1700 - 3000,Тверская;Пушкинская
Imagine Café,Кафе,Открыто до 05:00,8.4,700 - 1700,Чистые пруды;Курская
"Пироги, вино и гусь",Кафе,Открыто до 23:00,8.4,1700 - 3000,Цветной бульвар;Трубная
Hong Kong,Китайская кухня,Открыто до 23:30,8.4,1700 - 3000,Сокольники
Николай,Пироги,Открыто до 23:00,8.4,700 - 1700,Новокузнецкая;Добрынинская
Молоко,Кофейни,Открыто до 00:00,8.3,700 - 1700,Охотный Ряд;Театральная
Донна Маргарита,Итальянская кухня,Открыто до 00:00,8.3,1700 - 3000,Улица 1905 года
Wino Bar,Винотеки,Открыто до 00:00,8.3,1700 - 3000,Таганская;Марксистская
Boston Seafood & Bar,Европейская кухня,Открыто до 00:00,8.3,1700 - 3000,Белорусская
Чихо,Китайская кухня,Открыто до 23:00,8.3,700 - 1700,Чистые пруды;Тургеневская
Волконский,Пекарни,Открыто до 23:00,8.3,700 - 1700,Маяковская
Кондитерская «Пушкин»,Кондитерские,Открыто до 21:00,8.3,,Тверская;Пушкинская
Ботаника,Кафе,Открыто до 23:00,8.3,1700 - 3000,Белорусская;Маяковская
Вай мэ!,Грузинская кухня,Открыто до 23:00,8.3,700,Новокузнецкая;Третьяковская
7 сэндвичей,Сэндвичи,Открыто до 23:00,8.3,700,Курская;Чкаловская
Chainaya. Tea & Cocktails,Китайская кухня,Открыто до 01:00,8.3,1700 - 3000,Белорусская
Мару,Японская кухня,Открыто до 23:00,8.3,700,Новокузнецкая;Третьяковская
Чито-Ра,Грузинская кухня,Открыто до 23:00,8.3,700 - 1700,Курская;Чкаловская
Брянский бык,Стейки,Открыто до 00:00,8.3,1700 - 3000,Чистые пруды;Тургеневская
Столовая №57,Столовые,Открыто до 22:00,8.3,700,Охотный Ряд;Театральная
Ugolek,Авторская кухня,Открыто до 00:00,8.3,1700 - 3000,Библиотека им. Ленина;Арбатская
Goodman,Стейки,Открыто до 00:00,8.3,1700 - 3000,Трубная
Meating,Бургеры,Открыто до 23:00,8.3,700,Курская;Чкаловская
Food Market 21,Фуд-корты,Открыто до 00:00,8.3,,Арбатская;Смоленская
Pivbar,Бары,Открыто до 00:00,8.3,700 - 1700,Маяковская
Трын-трава,Кафе,Открыто до 00:15,8.3,700 - 1700,Молодежная
Mandarin Combustible,Бары,Открыто до 06:00,8.3,700 - 1700,Лубянка;Кузнецкий Мост
Высота 5642,Грузинская кухня,Открыто до 00:00,8.3,1700 - 3000,Китай-город
Рамен-клаб,Японская кухня,Открыто до 21:00,8.3,700 - 1700,Лубянка;Кузнецкий Мост
Christian,Авторская кухня,Открыто до 00:00,8.2,3000,Киевская
Semplice,Итальянская кухня,Открыто до 00:00,8.2,700 - 1700,Чистые пруды;Тургеневская
Хача,Грузинская кухня,Открыто до 23:00,8.2,700 - 1700,Киевская
Goodman,Стейки,Открыто до 00:00,8.2,1700 - 3000,Ленинский проспект;Академическая
Magnum Wine Bar,Европейская кухня,Открыто до 00:00,8.2,1700 - 3000,Белорусская
Андерсон на Островитянова,Кафе,Открыто до 23:00,8.2,700 - 1700,Тропарево;Коньково
Шинок,Европейская кухня,Открыто до 00:00,8.2,1700 - 3000,Улица 1905 года
Torro Grill,Стейки,Открыто до 00:00,8.2,1700 - 3000,Войковская;Балтийская
Грабли,Русская кухня,Открыто до 22:00,8.2,700,Тверская;Пушкинская
White Rabbit,Авторская кухня,Открыто до 00:00,8.2,3000,Смоленская
Буфет,Кафе,Открыто до 00:00,8.2,1700 - 3000,Таганская;Площадь Ильича
Цветение сакуры,Японская кухня,Открыто до 23:00,8.2,1700 - 3000,Маяковская
Asia Hall,Паназиатская кухня,Открыто до 00:00,8.2,3000,Славянский бульвар;Парк Победы
Bora Bora,Кафе,Открыто до 23:00,8.2,700 - 1700,Домодедовская
China Club,Китайская кухня,Открыто до 22:00,8.2,1700 - 3000,Маяковская
Friends & Family,Итальянская кухня,Открыто до 00:30,8.2,1700 - 3000,Крылатское
Lambic,Бельгийская кухня,Открыто до 00:00,8.2,1700 - 3000,Чистые пруды;Тургеневская
Кому жить хорошо,Рестораны у воды,Открыто до 06:00,8.2,3000,Кропоткинская;Парк культуры
Michel,Французская кухня,Открыто до 00:00,8.2,1700 - 3000,Краснопресненская;Баррикадная
Мадам Галифе,Грузинская кухня,Открыто до 00:00,8.2,1700 - 3000,Проспект Мира
Torro Grill,Стейки,Открыто до 00:00,8.1,1700 - 3000,Университет
Одесса-мама,Украинская кухня,Открыто до 23:00,8.1,700 - 1700,Чистые пруды;Тургеневская
Оттепель,Европейская кухня,Открыто до 22:00,8.1,1700 - 3000,ВДНХ
Сайгон,Вьетнамская кухня,Открыто до 00:00,8.1,700 - 1700,Савеловская
Чайка,Европейская кухня,Открыто до 00:00,8.1,3000,Выставочная
Gayane's,Армянская кухня,Открыто до 00:00,8.1,700 - 1700,Смоленская
Delicatessen,Авторская кухня,Открыто до 00:00,8.1,1700 - 3000,Цветной бульвар;Трубная
Lambic,Пивные рестораны,Открыто до 00:00,8.1,1700 - 3000,Курская;Чкаловская
Лига пап,Европейская кухня,Открыто до 00:00,8.1,700 - 1700,Чистые пруды;Тургеневская
Сок,Кафе,Открыто до 22:00,8.1,700 - 1700,Новокузнецкая;Третьяковская
Nude. Coffee & Wine Bar,Кофейни,Открыто до 23:00,8.1,700 - 1700,Маяковская;Краснопресненская
Secret Place,,Открыто до 00:00,8.1,1700 - 3000,Кропоткинская;Арбатская
Будвар,Пивные рестораны,Открыто до 23:00,8.1,1700 - 3000,Таганская;Марксистская
Долма,Азербайджанская кухня,Открыто до 00:00,8.1,1700 - 3000,Чистые пруды;Тургеневская
Белый журавль,Корейская кухня,Открыто до 23:00,8.1,1700 - 3000,Парк культуры;Фрунзенская
Булошная,Кафе,Открыто до 23:00,8.1,1700 - 3000,Курская;Чкаловская
Bobby Dazzler,Пабы,Открыто до 00:00,8.1,700 - 1700,Чистые пруды;Тургеневская
Воккер,Вок,Открыто до 23:00,8.1,700 - 1700,Войковская;Балтийская
Паста и баста,Итальянская кухня,Открыто до 00:00,8.1,1700 - 3000,Чистые пруды;Тургеневская
Suzuran,Коктейльная карта,Открыто до 03:00,8.1,700 - 1700,Чистые пруды;Тургеневская
Луч,Коктейльная карта,Открыто до 06:00,8.0,1700 - 3000,Фрунзенская;Спортивная
Spettacolo,Итальянская кухня,Открыто до 00:00,8.0,3000,Славянский бульвар;Парк Победы
У Сальваторе,Итальянская кухня,Открыто до 23:00,8.0,700 - 1700,Цветной бульвар;Трубная
Конор Мак Несса,Американская кухня,Открыто до 01:00,8.0,700 - 1700,Профсоюзная
Эларджи,Грузинская кухня,Открыто до 00:00,8.0,1700 - 3000,Кропоткинская;Смоленская
Tap & Barrel Pub,Европейская кухня,Открыто до 00:00,8.0,1700 - 3000,Тверская;Пушкинская
Prime,Кафе,Открыто до 22:00,8.0,700,Охотный Ряд;Театральная
Консерватория,Панорамные рестораны,Открыто до 01:00,8.0,3000,Лубянка;Охотный Ряд
Culinaryon,Кулинарные студии,,8.0,,Краснопресненская;Баррикадная
Sean O'Neill,Европейская кухня,Открыто до 00:00,8.0,1700 - 3000,Лубянка;Кузнецкий Мост
Steak It Easy,Американская кухня,Открыто до 00:00,8.0,700 - 1700,Белорусская
Tilda Food & Bar,Европейская кухня,Открыто до 00:00,8.0,1700 - 3000,Тверская;Пушкинская
Бутчер,Стейки,Открыто до 00:00,8.0,3000,Новые Черемушки
Оджахури,Грузинская кухня,Открыто до 00:00,8.0,700 - 1700,Красные Ворота;Курская
Пит Брэд,Фастфуд,Открыто до 21:00,8.0,700,Полянка
Рыбторг,Кулинарии,Открыто до 23:00,8.0,700 - 1700,Тверская;Пушкинская
Хача,Грузинская кухня,Открыто до 23:00,8.0,700 - 1700,Чистые пруды;Тургеневская
Брюгге,Пабы,Открыто до 00:00,8.0,700 - 1700,Бауманская
Винный базар на Никитском,Европейская кухня,Открыто до 01:00,8.0,700 - 1700,Арбатская
Cantinetta Antinori,Итальянская кухня,Открыто до 00:00,8.0,3000,Смоленская
Тарас Бульба,Русская кухня,Открыто до 00:00,8.0,700 - 1700,Библиотека им. Ленина;Арбатская
Тануки,Японская кухня,Открыто до 00:00,8.0,700 - 1700,ВДНХ;Алексеевская
Breakfast Café,Европейская кухня,Открыто до 22:00,8.0,1700 - 3000,Тверская;Арбатская
Probka на Цветном,Итальянская кухня,Открыто до 00:30,8.0,1700 - 3000,Цветной бульвар;Трубная
The Tipsy Pub,Европейская кухня,Открыто до 00:00,8.0,700 - 1700,Новослободская;Менделеевская
Meat Me,Ливанская кухня,Открыто до 22:00,8.0,700,Шаболовская
Mandy's Apothecary,Европейская кухня,Открыто до 03:00,8.0,1700 - 3000,Лубянка;Кузнецкий Мост
Madwinebar,,Открыто до 00:00,8.0,1700 - 3000,Чистые пруды;Тургеневская
Megumi,Японская кухня,Открыто до 23:00,8.0,3000,Смоленская
Воккер,Вок,Открыто до 22:00,8.0,700 - 1700,Университет
Барашка,Азербайджанская кухня,Открыто до 00:00,8.0,1700 - 3000,Лубянка;Тверская
Клево Петровка,Европейская кухня,Открыто до 00:00,8.0,1700 - 3000,Тверская;Пушкинская
BB Grill,Стейки,Открыто до 00:00,7.9,1700 - 3000,Семеновская
Farsh,Американская кухня,Открыто до 00:00,7.9,700 - 1700,Лубянка;Кузнецкий Мост
Bambule,Европейская кухня,Открыто до 00:00,7.9,700 - 1700,Китай-город
Grill & Gyros,Фастфуд,Открыто до 23:00,7.9,700,Беговая
Ketch Up,Бургеры,Открыто до 23:00,7.9,700 - 1700,Охотный Ряд;Театральная
Chicago Grill & Bar,Стейки,Открыто до 00:00,7.9,3000,Тверская;Пушкинская
Дума,Кафе,Открыто до 00:00,7.9,700 - 1700,Охотный Ряд;Театральная
Илларион,Грузинская кухня,Открыто до 23:00,7.9,700 - 1700,Ленинский проспект;Площадь Гагарина
Хача,Грузинская кухня,Открыто до 23:00,7.9,700 - 1700,Тверская;Пушкинская
Бакинский бульвар,Азербайджанская кухня,Открыто до 03:00,7.9,1700 - 3000,Чертановская
Кофемания,Кофейни,Открыто до 00:00,7.9,1700 - 3000,Охотный Ряд;Театральная
Все твои друзья,Бары,Открыто до 06:00,7.9,,Тверская;Пушкинская
Брусника,Кулинарии,Открыто до 23:00,7.9,700,Китай-город
Рыбный базар,Средиземноморская кухня,Открыто до 00:00,7.9,3000,Маяковская;Тверская
Старик и море,Европейская кухня,Открыто до 23:00,7.9,700 - 1700,Чистые пруды;Тургеневская
Под мухой,Бары,Открыто до 00:00,7.9,700,Тверская;Пушкинская
Хон Гиль Дон,Корейская кухня,Открыто до 23:00,7.9,1700 - 3000,Новокузнецкая;Третьяковская
Воронеж,Европейская кухня,Открыто до 00:00,7.9,3000,Кропоткинская
Ribambelle Vremena Goda,,Открыто до 22:00,7.9,3000,Славянский бульвар;Парк Победы
La bottega siciliana,Итальянская кухня,Открыто до 00:00,7.9,3000,Охотный Ряд;Театральная
Баба Марта,Болгарская кухня,Открыто до 23:00,7.9,700 - 1700,Арбатская
Воккер,Вок,Открыто до 23:00,7.8,700 - 1700,Речной вокзал;Планерная
Grand Cru,Авторская кухня,Открыто до 00:00,7.8,3000,Маяковская;Тверская
Сэлэнгэ,,Открыто до 00:00,7.8,700 - 1700,Маяковская;Тверская
Квартира 44,Кафе,Открыто до 00:00,7.8,700 - 1700,Полянка
La provincia,Средиземноморская кухня,Открыто до 00:00,7.8,3000,Октябрьская
Честная кухня,Авторская кухня,Открыто до 00:00,7.8,1700 - 3000,Красные Ворота
Горыныч,Американская кухня,Открыто до 00:00,7.8,1700 - 3000,Цветной бульвар;Трубная
Карло,Итальянская кухня,Открыто до 23:00,7.8,700 - 1700,Арбатская
Buba by Sumosan,Японская кухня,Открыто до 00:00,7.8,700 - 1700,Цветной бульвар;Трубная
Cevicheria,Вайфай,Открыто до 23:00,7.8,3000,Парк культуры
Одесса-мама,,Открыто до 23:00,7.8,700 - 1700,Киевская
Пион,Кафе,Открыто до 00:00,7.8,1700 - 3000,Кутузовская;Студенческая
Бенвенуто,Итальянская кухня,Открыто до 23:00,7.8,1700 - 3000,Чистые пруды;Тургеневская
Кофемания,Кофейни,Открыто до 00:00,7.8,1700 - 3000,Краснопресненская;Баррикадная
Parisienne,Дети,Открыто до 00:00,7.8,3000,Динамо
Torro Grill,Стейки,Открыто до 00:00,7.8,1700 - 3000,Павелецкая
Correa's,Средиземноморская кухня,Открыто до 23:00,7.8,700 - 1700,Войковская
Sempre,Европейская кухня,Открыто до 23:00,7.8,1700 - 3000,Тверская;Пушкинская
Главпивмаг-2,Бары,Открыто до 03:00,7.8,700,Чистые пруды;Тургеневская
"Дорогая, я перезвоню..,",Бары,Открыто до 00:00,7.8,700 - 1700,Китай-город
Katie O'Shea's,Европейская кухня,Открыто до 22:00,7.8,700 - 1700,Проспект Мира
Mr. Help & Friends,Мексиканская кухня,Открыто до 00:00,7.8,700 - 1700,Белорусская
Remy Kitchen Bakery,Европейская кухня,Открыто до 00:00,7.8,1700 - 3000,Тверская;Арбатская
Линдфорс,Пироги,Открыто до 21:00,7.8,700,Спортивная
"Дорогая, я перезвоню..,",Бары,Открыто до 00:00,7.8,700 - 1700,Маяковская
Margarita Bistro,Европейская кухня,Открыто до 00:00,7.8,1700 - 3000,Маяковская;Тверская
Pancho Villa,Мексиканская кухня,Открыто до 23:00,7.8,1700 - 3000,Октябрьская
Бауман,Пивные рестораны,Открыто до 00:00,7.8,700 - 1700,Бауманская
Torro Grill,Американская кухня,Открыто до 00:00,7.8,1700 - 3000,Белорусская
Смайл,Кафе,Открыто до 23:00,7.8,700 - 1700,Красные Ворота;Курская
Correa's,Средиземноморская кухня,Открыто до 23:00,7.7,1700 - 3000,Краснопресненская;Баррикадная
Casa di famiglia,Итальянская кухня,Открыто до 00:00,7.7,700 - 1700,Первомайская;Измайловская
Kinki,Японская кухня,Открыто до 23:00,7.7,3000,Крылатское
Ecle,Итальянская кухня,Открыто до 23:30,7.7,1700 - 3000,Достоевская;Марьина Роща
Венеция,Итальянская кухня,Открыто до 00:00,7.7,700 - 1700,Тверская;Пушкинская
Кофемания,Кофейни,Открыто до 00:00,7.7,1700 - 3000,Чистые пруды;Тургеневская
Квартира 44,Кафе,Открыто до 00:00,7.7,700 - 1700,Арбатская
Mollie's,Пабы,Открыто до 00:00,7.7,700 - 1700,Чистые пруды;Лубянка
Parka,Бары,Открыто до 02:00,7.7,700 - 1700,Новокузнецкая;Третьяковская
Surf Coffee,Кофейни,Открыто до 23:00,7.7,,Лубянка;Кузнецкий Мост
Матрешка,Русская кухня,Открыто до 23:00,7.7,1700 - 3000,Киевская
Сытый лось,,Открыто до 00:00,7.7,700 - 1700,Коломенская;Каширская
Братья Караваевы,Кулинарии,Открыто до 23:00,7.7,700,Парк культуры
Erwin. Рекамореокеан,Европейская кухня,Открыто до 01:00,7.7,1700 - 3000,Киевская
Seven,Кафе,Открыто до 23:00,7.7,1700 - 3000,Охотный Ряд;Театральная
Tutti i giorni,Итальянская кухня,Открыто до 00:00,7.7,1700 - 3000,Планерная
Кувшин,Грузинская кухня,Открыто до 23:00,7.7,1700 - 3000,Тропарево;Юго-Западная
Чебуречная,Чебуреки,Открыто до 01:00,7.7,700,Китай-город
Shore House,Рестораны у воды,Открыто до 00:00,7.7,3000,Мякинино
Bistrot,Итальянская кухня,Открыто до 00:00,7.7,3000,Фрунзенская;Спортивная
Wine & Crab,Европейская кухня,Открыто до 00:00,7.7,1700 - 3000,Лубянка;Охотный Ряд
Хаджурао,Индийская кухня,Открыто до 23:00,7.7,1700 - 3000,Улица 1905 года
Кофемания,Кофейни,Открыто до 00:00,7.7,1700 - 3000,Цветной бульвар;Трубная
Terrine,Банкетные залы,,7.7,,Парк культуры
Coffee Bean,Кофейни,Открыто до 22:00,7.7,,Новокузнецкая;Третьяковская
J'Pan,Японская кухня,Открыто до 23:00,7.7,700 - 1700,Цветной бульвар;Трубная
Modus,Европейская кухня,Открыто до 00:00,7.7,3000,Парк культуры;Киевская
13°,Гастробары,Открыто до 23:00,7.7,1700 - 3000,Маяковская
Beermarket,Бары,Открыто до 00:00,7.7,,Тверская;Пушкинская
Jacky Jacky Gastrobar,Европейская кухня,Открыто до 00:00,7.7,1700 - 3000,Динамо;Петровский парк
Savva,Европейская кухня,Открыто до 00:00,7.7,3000,Охотный Ряд;Театральная
Колбасофф,Пивные рестораны,Открыто до 00:00,7.7,700 - 1700,Мичуринский проспект;Озерная
Прованс,Средиземноморская кухня,Открыто до 23:00,7.7,1700 - 3000,Кропоткинская
Pizza Peppe,Пицца,Открыто до 00:00,7.7,700 - 1700,Охотный Ряд;Театральная
Бабель,Европейская кухня,Открыто до 00:00,7.7,3000,Смоленская
Dizengof 99,Кейтеринг,Открыто до 23:00,7.7,1700 - 3000,Курская;Китай-город
Петров и Васечка,Бары,Открыто до 00:00,7.7,700 - 1700,Цветной бульвар;Трубная
Варка,Бары,Открыто до 00:00,7.7,700,Таганская;Марксистская
Сосна и липа,Бары,Открыто до 23:00,7.6,,Чистые пруды;Тургеневская
Есть хинкали & Пить вино,Грузинская кухня,Открыто до 00:00,7.6,700 - 1700,Тверская;Пушкинская
Tin Woodman Bar,Бары,Открыто до 00:00,7.6,700 - 1700,Проспект Мира
Ача-чача,Абхазская кухня,Открыто до 00:00,7.6,700 - 1700,Белорусская
Барашка,Европейская кухня,Открыто до 00:00,7.6,1700 - 3000,Арбатская;Смоленская
Dante Kitchen + Bar,Гастробары,Открыто до 00:00,7.6,1700 - 3000,Лубянка;Охотный Ряд
Киану,Бары,Открыто до 03:00,7.6,1700 - 3000,Тверская;Пушкинская
Pinch,Авторская кухня,Открыто до 00:00,7.6,1700 - 3000,Тверская;Пушкинская
Daddy Pub,Пабы,Открыто до 00:00,7.6,1700 - 3000,Авиамоторная
Neon Monkey,Бары,Открыто до 23:00,7.6,700 - 1700,Тверская;Пушкинская
Хача,Грузинская кухня,Открыто до 23:00,7.6,700 - 1700,Проспект Мира
Шоколадное ателье,Кондитерские,Открыто до 21:00,7.6,700,Красные Ворота;Курская
Crafter,Бары,Открыто до 00:00,7.6,700 - 1700,Тверская;Пушкинская
Бочка,Европейская кухня,Открыто до 23:00,7.6,3000,Улица 1905 года
Burger Heroes,Бургеры,Открыто до 02:00,7.6,700,Тверская;Пушкинская
Lure Oysterbar,Европейская кухня,Открыто до 00:00,7.6,1700 - 3000,Белорусская;Новослободская
The Bix Bar and Legend,Американская кухня,Открыто до 03:00,7.6,1700 - 3000,Тверская;Пушкинская
Veladora,Мексиканская кухня,Открыто до 02:00,7.6,700 - 1700,Китай-город
Гончаров,Кафе,Открыто до 00:00,7.6,700 - 1700,Савеловская
Раклет-бар Borough,Гастропабы,Открыто до 00:00,7.6,700 - 1700,Маяковская;Тверская
Via Романо,Итальянская кухня,Открыто до 00:00,7.6,1700 - 3000,Беломорская;Речной вокзал
Бакинский дворик,Европейская кухня,Открыто до 00:00,7.6,700 - 1700,Красные Ворота;Чистые пруды
Ю-мэ,Японская кухня,Открыто до 00:00,7.6,1700 - 3000,Красные Ворота;Чистые пруды
Мари Ванна,Русская кухня,Открыто до 23:30,7.6,1700 - 3000,Тверская;Пушкинская
Примавера,Итальянская кухня,Открыто до 23:00,7.6,700 - 1700,Октябрьское Поле
Rule Taproom,Бары,Открыто до 00:00,7.6,,Библиотека им. Ленина;Арбатская
Хинкальная на Неглинной,Европейская кухня,Открыто до 06:00,7.6,700 - 1700,Лубянка;Кузнецкий Мост
Villa Pasta,Европейская кухня,Открыто до 00:00,7.6,700 - 1700,Новокузнецкая;Третьяковская
Dark Patrick's Pub,Пабы,Открыто до 00:00,7.6,700 - 1700,Лубянка;Кузнецкий Мост
Маленькая пекарня Журавлевых,Пекарни,Открыто до 22:00,7.6,,Автозаводская
Суп-кафе,Европейская кухня,Открыто до 00:00,7.5,700 - 1700,Белорусская
Булка,,Открыто до 23:00,7.5,1700 - 3000,Белорусская
Макото,Японская кухня,Открыто до 00:00,7.5,1700 - 3000,Деловой центр;Улица 1905 года
Sally O'Brien’s,Европейская кухня,Открыто до 00:00,7.5,700 - 1700,Полянка
8 Oz,Рестораны у воды,Открыто до 00:00,7.5,1700 - 3000,Парк культуры;Октябрьская
